Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 18/08/2021
TIME       : 20:27:52
FILENAME   : C:\Users\JOKAM LINE\Documents\ProSEP\Mission\Juillet2021\Data\Datalogger\PROSEP\CSV\Douka_Longo_210818202752_X0709.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..06-X0709  317.
  Instrument number       =          UTC+1     
                          =0
  Location                =Douka_Longo
  Sample period           =M60
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =30,000    ms/cm


[Series settings]
  Serial number           =..06-X0709  317.
  Instrument number       =          UTC+1     
  Location                =Douka_Longo
  Sample period           =00 00:60:00 0
  Sample method           =T   
  Start date / time       =00:00:12 24/03/21
  End date / time         =00:00:10 17/08/21
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =30,000    ms/cm


Date/time;Pressure[cmH2O];Temperature[°C];1:Conductivity[ms/cm]
2021/03/24 12:00:00;1006,667;34,137;0,000
2021/03/24 13:00:00;1005,850;35,680;0,000
2021/03/24 14:00:00;1004,508;35,710;0,000
2021/03/24 15:00:00;1003,458;36,160;0,000
2021/03/24 16:00:00;1002,992;34,950;0,000
2021/03/24 17:00:00;1002,758;33,987;0,000
2021/03/24 18:00:00;1003,167;31,953;0,000
2021/03/24 19:00:00;1003,750;29,530;0,000
2021/03/24 20:00:00;1004,275;28,303;0,000
2021/03/24 21:00:00;1004,625;26,893;0,000
2021/03/24 22:00:00;1005,383;26,460;0,000
2021/03/24 23:00:00;1005,850;26,043;0,000
2021/03/25 00:00:00;1005,908;26,110;0,000
2021/03/25 01:00:00;1005,383;26,113;0,000
2021/03/25 02:00:00;1004,450;26,093;0,000
2021/03/25 03:00:00;1004,742;26,157;0,000
2021/03/25 04:00:00;1005,208;26,697;0,000
2021/03/25 05:00:00;1004,917;27,347;0,000
2021/03/25 06:00:00;1005,383;26,710;0,000
2021/03/25 07:00:00;1006,375;27,230;0,000
2021/03/25 08:00:00;1007,075;28,687;0,000
2021/03/25 09:00:00;1007,483;30,463;0,000
2021/03/25 10:00:00;1007,892;33,160;0,000
2021/03/25 11:00:00;1007,133;34,290;0,000
2021/03/25 12:00:00;1006,258;35,623;0,000
2021/03/25 13:00:00;1004,858;37,083;0,000
2021/03/25 14:00:00;1003,575;37,903;0,000
2021/03/25 15:00:00;1002,700;37,170;0,000
2021/03/25 16:00:00;1002,408;37,073;0,000
2021/03/25 17:00:00;1002,058;34,280;0,000
2021/03/25 18:00:00;1002,875;33,423;0,000
2021/03/25 19:00:00;1003,517;30,853;0,000
2021/03/25 20:00:00;1004,042;31,713;0,000
2021/03/25 21:00:00;1004,858;30,213;0,000
2021/03/25 22:00:00;1005,617;30,090;0,000
2021/03/25 23:00:00;1005,850;28,670;0,000
