Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 07/07/2023
TIME       : 09:49:06
FILENAME   : C:\Montcoudiol.N\Anwendungsdaten\DiverOffice\ProSEC\CSV\Douka_Longo_230707094904_X0709.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..11-X0709  317.
  Instrument number       =          UTC+1     
                          =0
  Location                =Douka_Longo
  Sample period           =M15
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =4.00000   m
  Range                   =17.50000  m
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0         µS/cm
  Range                   =30000     µS/cm


[Series settings]
  Serial number           =..11-X0709  317.
  Instrument number       =          UTC+1     
  Location                =Douka_Longo
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:11 30.08.21
  End date / time         =00:45:10 12.01.23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =4.00000   m
  Range                   =17.50000  m
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0         µS/cm
  Range                   =30000     µS/cm


Date/time;Pressure[mH2O];Temperature[°C];1:Conductivity[µS/cm]
2021/08/30 11:00:00;11.38383;27.760;89
2021/08/30 11:15:00;11.38033;27.800;89
2021/08/30 11:30:00;11.37858;27.847;89
2021/08/30 11:45:00;11.37392;27.890;89
2021/08/30 12:00:00;11.36925;27.943;89
2021/08/30 12:15:00;11.36633;28.007;90
2021/08/30 12:30:00;11.36167;28.060;90
2021/08/30 12:45:00;11.35817;28.087;90
2021/08/30 13:00:00;11.35525;28.130;90
2021/08/30 13:15:00;11.35817;28.147;90
2021/08/30 13:30:00;11.36458;28.133;90
2021/08/30 13:45:00;11.36342;28.140;90
2021/08/30 14:00:00;11.36167;28.083;90
2021/08/30 14:15:00;11.35058;28.027;90
2021/08/30 14:30:00;11.34533;27.960;89
2021/08/30 14:45:00;11.34067;27.903;89
2021/08/30 15:00:00;11.33600;27.863;89
2021/08/30 15:15:00;11.33250;27.833;89
2021/08/30 15:30:00;11.33075;27.820;89
2021/08/30 15:45:00;11.32433;27.797;90
2021/08/30 16:00:00;11.31967;27.787;89
2021/08/30 16:15:00;11.31208;27.777;90
2021/08/30 16:30:00;11.30683;27.763;90
2021/08/30 16:45:00;11.30858;27.760;89
2021/08/30 17:00:00;11.30858;27.743;89
2021/08/30 17:15:00;11.31500;27.737;89
2021/08/30 17:30:00;11.31500;27.727;89
2021/08/30 17:45:00;11.31792;27.707;89
2021/08/30 18:00:00;11.31792;27.683;89
2021/08/30 18:15:00;11.31617;27.647;89
2021/08/30 18:30:00;11.31792;27.617;89
2021/08/30 18:45:00;11.31675;27.570;89
2021/08/30 19:00:00;11.31792;27.547;89
2021/08/30 19:15:00;11.31967;27.517;89
2021/08/30 19:30:00;11.31792;27.497;89
2021/08/30 19:45:00;11.31967;27.483;88
2021/08/30 20:00:00;11.32142;27.480;88
2021/08/30 20:15:00;11.32317;27.467;88
2021/08/30 20:30:00;11.32433;27.463;88
2021/08/30 20:45:00;11.32317;27.460;88
2021/08/30 21:00:00;11.31967;27.470;88
2021/08/30 21:15:00;11.32317;27.487;88
2021/08/30 21:30:00;11.32433;27.483;88
2021/08/30 21:45:00;11.32142;27.480;88
2021/08/30 22:00:00;11.32142;27.480;88
2021/08/30 22:15:00;11.31967;27.467;88
2021/08/30 22:30:00;11.31675;27.450;88
2021/08/30 22:45:00;11.31325;27.433;88
2021/08/30 23:00:00;11.31033;27.390;88
2021/08/30 23:15:00;11.30858;27.350;88
2021/08/30 23:30:00;11.30508;27.307;88
2021/08/30 23:45:00;11.30042;27.257;88
2021/08/31 00:00:00;11.29867;27.200;88
2021/08/31 00:15:00;11.29575;27.153;88
2021/08/31 00:30:00;11.29750;27.117;88
2021/08/31 00:45:00;11.29108;27.077;88
2021/08/31 01:00:00;11.28933;27.037;88
2021/08/31 01:15:00;11.28467;26.990;88
2021/08/31 01:30:00;11.28117;26.947;88
2021/08/31 01:45:00;11.28117;26.907;88
2021/08/31 02:00:00;11.27825;26.873;88
2021/08/31 02:15:00;11.27825;26.820;88
2021/08/31 02:30:00;11.27650;26.780;88
2021/08/31 02:45:00;11.27650;26.740;88
2021/08/31 03:00:00;11.27475;26.680;87
2021/08/31 03:15:00;11.27358;26.647;87
2021/08/31 03:30:00;11.27650;26.593;87
2021/08/31 03:45:00;11.27475;26.543;87
2021/08/31 04:00:00;11.27767;26.497;87
2021/08/31 04:15:00;11.28292;26.453;87
2021/08/31 04:30:00;11.28117;26.390;87
2021/08/31 04:45:00;11.28292;26.327;87
2021/08/31 05:00:00;11.28292;26.283;87
2021/08/31 05:15:00;11.28583;26.230;87
2021/08/31 05:30:00;11.28467;26.177;87
2021/08/31 05:45:00;11.28292;26.127;87
2021/08/31 06:00:00;11.28292;26.077;87
2021/08/31 06:15:00;11.28758;26.030;86
2021/08/31 06:30:00;11.28583;25.973;86
2021/08/31 06:45:00;11.28758;25.930;86
2021/08/31 07:00:00;11.28642;25.890;86
2021/08/31 07:15:00;11.29108;25.860;86
2021/08/31 07:30:00;11.28933;25.830;86
2021/08/31 07:45:00;11.29400;25.807;86
2021/08/31 08:00:00;11.29108;25.787;86
2021/08/31 08:15:00;11.29108;25.780;86
2021/08/31 08:30:00;11.29225;25.780;86
2021/08/31 08:45:00;11.29400;25.790;86
2021/08/31 09:00:00;11.29225;25.800;86
2021/08/31 09:15:00;11.29225;25.827;86
2021/08/31 09:30:00;11.29050;25.853;86
2021/08/31 09:45:00;11.28758;25.900;86
2021/08/31 10:00:00;11.28467;25.943;86
2021/08/31 10:15:00;11.28117;26.003;86
2021/08/31 10:30:00;11.27942;26.073;86
2021/08/31 10:45:00;11.27475;26.173;87
2021/08/31 11:00:00;11.27183;26.267;87
