Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 18/08/2021
TIME       : 20:27:52
FILENAME   : C:\Users\JOKAM LINE\Documents\ProSEP\Mission\Juillet2021\Data\Datalogger\PROSEP\CSV\Douka_Longo_Baro_210818202752_BX056.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB00-BX056  219.
  Instrument number       =          UTC+1     
                          =0
  Location                =Douka_Longo_Baro
  Sample period           =H01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =750,000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Series settings]
  Serial number           =BB00-BX056  219.
  Instrument number       =          UTC+1     
  Location                =Douka_Longo_Baro
  Sample period           =00 01:00:00 0
  Sample method           =T   
  Start date / time       =00:00:12 24/03/21
  End date / time         =00:00:10 17/08/21
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =750,000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


Date/time;Pressure[cmH2O];Temperature[°C]
2021/03/24 12:00:00;1005,925;35,473
2021/03/24 13:00:00;1005,300;37,747
2021/03/24 14:00:00;1003,900;37,473
2021/03/24 15:00:00;1003,025;38,013
2021/03/24 16:00:00;1002,125;36,897
2021/03/24 17:00:00;1001,950;35,543
2021/03/24 18:00:00;1002,575;33,637
2021/03/24 19:00:00;1003,150;31,357
2021/03/24 20:00:00;1003,700;30,067
2021/03/24 21:00:00;1004,025;28,317
2021/03/24 22:00:00;1004,725;27,387
2021/03/24 23:00:00;1005,100;26,757
2021/03/25 00:00:00;1005,150;26,433
2021/03/25 01:00:00;1004,450;26,387
2021/03/25 02:00:00;1004,025;26,373
2021/03/25 03:00:00;1003,950;26,490
2021/03/25 04:00:00;1004,450;27,310
2021/03/25 05:00:00;1004,400;27,763
2021/03/25 06:00:00;1004,850;27,483
2021/03/25 07:00:00;1005,525;27,520
2021/03/25 08:00:00;1006,550;28,637
2021/03/25 09:00:00;1006,975;30,240
2021/03/25 10:00:00;1007,350;33,397
2021/03/25 11:00:00;1006,675;34,553
2021/03/25 12:00:00;1005,725;35,887
2021/03/25 13:00:00;1004,100;37,380
2021/03/25 14:00:00;1002,950;38,263
2021/03/25 15:00:00;1002,250;38,137
2021/03/25 16:00:00;1001,825;38,450
2021/03/25 17:00:00;1001,825;37,263
2021/03/25 18:00:00;1002,200;35,803
2021/03/25 19:00:00;1003,025;33,887
2021/03/25 20:00:00;1003,825;33,613
