Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 07/07/2023
TIME       : 10:40:10
FILENAME   : C:\Montcoudiol.N\Anwendungsdaten\DiverOffice\ProSEC\CSV\Douka_Longo_Baro_230707104009_BX056.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB06-BX056  219.
  Instrument number       =          UTC+1     
                          =0
  Location                =Douka_Longo_Baro
  Sample period           =M15
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =4.00000   m
  Range                   =7.50000   m
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB06-BX056  219.
  Instrument number       =          UTC+1     
  Location                =Douka_Longo_Baro
  Sample period           =00 00:15:00 0
  Sample method           =T   
  Start date / time       =00:00:11 30.08.21
  End date / time         =00:30:10 07.07.23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =4.00000   m
  Range                   =7.50000   m
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time;Pressure[mH2O];Temperature[°C]
2021/08/30 11:00:00;10.09375;32.160
2021/08/30 11:15:00;10.09100;31.200
2021/08/30 11:30:00;10.09000;30.803
2021/08/30 11:45:00;10.08800;30.693
2021/08/30 12:00:00;10.08600;30.653
2021/08/30 12:15:00;10.08600;30.613
2021/08/30 12:30:00;10.08350;30.560
2021/08/30 12:45:00;10.08300;30.340
2021/08/30 13:00:00;10.08225;30.147
2021/08/30 13:15:00;10.08800;29.183
2021/08/30 13:30:00;10.08925;27.043
2021/08/30 13:45:00;10.08600;25.247
2021/08/30 14:00:00;10.08350;24.287
2021/08/30 14:15:00;10.07525;23.810
2021/08/30 14:30:00;10.06850;23.607
2021/08/30 14:45:00;10.06650;23.583
2021/08/30 15:00:00;10.06275;23.630
2021/08/30 15:15:00;10.06150;23.647
2021/08/30 15:30:00;10.05775;23.740
2021/08/30 15:45:00;10.05400;23.787
2021/08/30 16:00:00;10.04950;23.780
2021/08/30 16:15:00;10.04325;23.863
2021/08/30 16:30:00;10.03750;23.933
2021/08/30 16:45:00;10.03825;24.100
2021/08/30 17:00:00;10.03875;24.200
2021/08/30 17:15:00;10.04525;24.293
2021/08/30 17:30:00;10.04825;24.380
2021/08/30 17:45:00;10.05400;24.473
2021/08/30 18:00:00;10.05150;24.427
2021/08/30 18:15:00;10.05025;24.240
2021/08/30 18:30:00;10.05150;24.020
2021/08/30 18:45:00;10.05275;23.793
2021/08/30 19:00:00;10.05400;23.677
2021/08/30 19:15:00;10.05400;23.543
2021/08/30 19:30:00;10.05650;23.433
2021/08/30 19:45:00;10.05825;23.327
2021/08/30 20:00:00;10.06275;23.217
2021/08/30 20:15:00;10.06275;23.153
2021/08/30 20:30:00;10.06900;23.130
2021/08/30 20:45:00;10.07025;23.137
2021/08/30 21:00:00;10.07025;23.100
2021/08/30 21:15:00;10.07225;23.067
2021/08/30 21:30:00;10.07475;23.053
2021/08/30 21:45:00;10.07475;23.013
2021/08/30 22:00:00;10.07725;22.997
2021/08/30 22:15:00;10.07725;23.013
2021/08/30 22:30:00;10.07525;23.083
2021/08/30 22:45:00;10.07400;23.113
2021/08/30 23:00:00;10.07150;23.077
2021/08/30 23:15:00;10.07275;22.927
2021/08/30 23:30:00;10.07100;22.863
2021/08/30 23:45:00;10.06900;22.780
2021/08/31 00:00:00;10.06850;22.710
2021/08/31 00:15:00;10.06850;22.630
2021/08/31 00:30:00;10.06650;22.483
2021/08/31 00:45:00;10.06475;22.397
2021/08/31 01:00:00;10.06600;22.373
2021/08/31 01:15:00;10.06275;22.317
2021/08/31 01:30:00;10.06025;22.257
2021/08/31 01:45:00;10.05825;22.177
2021/08/31 02:00:00;10.05775;22.107
2021/08/31 02:15:00;10.05450;22.077
2021/08/31 02:30:00;10.05275;22.083
2021/08/31 02:45:00;10.05450;21.997
2021/08/31 03:00:00;10.05325;21.973
2021/08/31 03:15:00;10.05275;21.960
2021/08/31 03:30:00;10.05325;21.950
