Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 18/08/2021
TIME       : 20:27:53
FILENAME   : C:\Users\JOKAM LINE\Documents\ProSEP\Mission\Juillet2021\Data\Datalogger\PROSEP\CSV\Rabingha_Baro_210818202752_BX059.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB00-BX059  219.
  Instrument number       =          UTC+1     
                          =0
  Location                =Rabingha_Baro
  Sample period           =H01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =750,000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Series settings]
  Serial number           =BB00-BX059  219.
  Instrument number       =          UTC+1     
  Location                =Rabingha_Baro
  Sample period           =00 01:00:00 0
  Sample method           =T   
  Start date / time       =00:00:17 25/03/21
  End date / time         =00:00:13 18/08/21
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =750,000   cm
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


Date/time;Pressure[cmH2O];Temperature[°C]
2021/03/25 17:00:00;989,750;32,677
2021/03/25 18:00:00;990,225;31,523
2021/03/25 19:00:00;991,050;30,403
2021/03/25 20:00:00;991,700;29,327
2021/03/25 21:00:00;992,350;29,297
2021/03/25 22:00:00;993,075;29,123
2021/03/25 23:00:00;993,250;29,100
2021/03/26 00:00:00;993,075;29,100
2021/03/26 01:00:00;992,700;29,030
2021/03/26 02:00:00;992,075;28,960
2021/03/26 03:00:00;992,250;28,880
2021/03/26 04:00:00;992,300;28,797
2021/03/26 05:00:00;992,700;28,640
2021/03/26 06:00:00;993,200;28,437
2021/03/26 07:00:00;994,200;28,000
2021/03/26 08:00:00;995,375;27,810
2021/03/26 09:00:00;996,550;27,710
2021/03/26 10:00:00;996,750;28,130
2021/03/26 11:00:00;996,625;28,523
2021/03/26 12:00:00;995,250;28,547
2021/03/26 13:00:00;994,375;29,723
2021/03/26 14:00:00;993,075;30,380
2021/03/26 15:00:00;992,350;30,833
2021/03/26 16:00:00;991,650;30,483
2021/03/26 17:00:00;991,650;29,357
2021/03/26 18:00:00;992,000;28,583
2021/03/26 19:00:00;992,775;27,523
2021/03/26 20:00:00;993,775;27,153
2021/03/26 21:00:00;994,375;26,973
2021/03/26 22:00:00;994,625;26,640
2021/03/26 23:00:00;994,500;26,537
2021/03/27 00:00:00;994,375;26,460
2021/03/27 01:00:00;993,600;26,483
2021/03/27 02:00:00;993,075;26,390
2021/03/27 03:00:00;993,425;26,053
2021/03/27 04:00:00;993,675;25,623
2021/03/27 05:00:00;994,725;25,460
2021/03/27 06:00:00;995,375;25,450
2021/03/27 07:00:00;996,150;25,217
2021/03/27 08:00:00;997,025;24,973
2021/03/27 09:00:00;997,925;24,750
2021/03/27 10:00:00;998,150;25,443
2021/03/27 11:00:00;997,400;26,537
2021/03/27 12:00:00;996,200;27,390
2021/03/27 13:00:00;995,075;28,093
2021/03/27 14:00:00;993,650;29,007
2021/03/27 15:00:00;992,775;29,583
2021/03/27 16:00:00;992,250;28,873
2021/03/27 17:00:00;992,250;28,327
2021/03/27 18:00:00;992,850;27,483
2021/03/27 19:00:00;993,425;26,350
2021/03/27 20:00:00;994,425;26,200
2021/03/27 21:00:00;994,850;25,570
2021/03/27 22:00:00;994,975;25,523
2021/03/27 23:00:00;995,025;25,583
2021/03/28 00:00:00;994,500;25,570
2021/03/28 01:00:00;994,150;25,593
2021/03/28 02:00:00;993,975;25,600
2021/03/28 03:00:00;994,250;25,537
2021/03/28 04:00:00;994,600;25,427
2021/03/28 05:00:00;995,275;25,617
2021/03/28 06:00:00;996,150;25,927
2021/03/28 07:00:00;996,800;26,210
2021/03/28 08:00:00;997,500;25,240
2021/03/28 09:00:00;997,750;24,797
2021/03/28 10:00:00;997,850;24,943
2021/03/28 11:00:00;997,275;25,687
2021/03/28 12:00:00;996,500;26,187
2021/03/28 13:00:00;995,500;27,757
2021/03/28 14:00:00;994,200;28,327
2021/03/28 15:00:00;993,200;28,780
2021/03/28 16:00:00;992,675;28,797
2021/03/28 17:00:00;992,600;28,257
2021/03/28 18:00:00;992,775;27,193
2021/03/28 19:00:00;993,175;26,280
2021/03/28 20:00:00;993,675;26,217
2021/03/28 21:00:00;994,025;26,070
2021/03/28 22:00:00;994,775;25,903
2021/03/28 23:00:00;995,425;25,943
2021/03/29 00:00:00;995,325;25,890
2021/03/29 01:00:00;994,775;25,973
2021/03/29 02:00:00;994,650;25,943
2021/03/29 03:00:00;994,250;25,780
2021/03/29 04:00:00;994,475;25,663
2021/03/29 05:00:00;995,325;26,013
2021/03/29 06:00:00;995,775;25,903
2021/03/29 07:00:00;996,625;25,803
2021/03/29 08:00:00;997,150;25,037
2021/03/29 09:00:00;997,500;24,623
2021/03/29 10:00:00;997,975;25,060
2021/03/29 11:00:00;997,750;26,357
2021/03/29 12:00:00;996,325;27,640
2021/03/29 13:00:00;995,200;28,593
2021/03/29 14:00:00;993,825;29,500
2021/03/29 15:00:00;992,775;30,240
2021/03/29 16:00:00;992,300;29,943
2021/03/29 17:00:00;992,000;29,530
2021/03/29 18:00:00;992,725;28,333
2021/03/29 19:00:00;993,550;27,310
2021/03/29 20:00:00;993,775;26,593
2021/03/29 21:00:00;994,300;26,250
2021/03/29 22:00:00;994,800;26,030
2021/03/29 23:00:00;995,250;25,880
2021/03/30 00:00:00;995,075;25,653
2021/03/30 01:00:00;994,725;25,427
2021/03/30 02:00:00;994,375;25,177
2021/03/30 03:00:00;994,600;25,100
2021/03/30 04:00:00;994,650;24,867
2021/03/30 05:00:00;995,250;24,820
2021/03/30 06:00:00;995,900;24,733
2021/03/30 07:00:00;996,375;24,803
2021/03/30 08:00:00;997,150;23,750
2021/03/30 09:00:00;997,625;23,570
2021/03/30 10:00:00;997,325;24,250
2021/03/30 11:00:00;996,800;26,070
2021/03/30 12:00:00;996,025;27,117
2021/03/30 13:00:00;994,850;28,303
2021/03/30 14:00:00;993,825;29,960
2021/03/30 15:00:00;993,000;31,147
2021/03/30 16:00:00;992,225;30,233
2021/03/30 17:00:00;991,775;28,943
2021/03/30 18:00:00;992,125;28,240
2021/03/30 19:00:00;992,725;27,343
2021/03/30 20:00:00;993,250;26,537
2021/03/30 21:00:00;993,900;26,070
2021/03/30 22:00:00;994,600;25,687
2021/03/30 23:00:00;994,725;25,403
2021/03/31 00:00:00;994,550;25,177
2021/03/31 01:00:00;994,125;24,857
2021/03/31 02:00:00;994,300;24,750
2021/03/31 03:00:00;994,025;24,403
2021/03/31 04:00:00;994,025;23,820
2021/03/31 05:00:00;994,500;23,450
2021/03/31 06:00:00;994,975;23,843
2021/03/31 07:00:00;995,925;23,983
2021/03/31 08:00:00;996,500;24,093
2021/03/31 09:00:00;996,750;23,367
2021/03/31 10:00:00;997,025;24,187
2021/03/31 11:00:00;996,150;25,500
2021/03/31 12:00:00;995,275;27,473
2021/03/31 13:00:00;994,025;28,443
2021/03/31 14:00:00;992,650;29,147
2021/03/31 15:00:00;991,825;30,100
2021/03/31 16:00:00;991,300;29,250
2021/03/31 17:00:00;990,775;28,327
2021/03/31 18:00:00;990,950;27,280
2021/03/31 19:00:00;991,550;26,670
2021/03/31 20:00:00;992,250;26,000
2021/03/31 21:00:00;993,200;25,547
2021/03/31 22:00:00;993,950;25,217
2021/03/31 23:00:00;993,825;24,960
2021/04/01 00:00:00;993,475;24,780
2021/04/01 01:00:00;993,125;24,523
2021/04/01 02:00:00;992,950;24,273
2021/04/01 03:00:00;993,025;23,897
2021/04/01 04:00:00;993,550;23,483
2021/04/01 05:00:00;993,775;23,083
2021/04/01 06:00:00;994,625;23,490
2021/04/01 07:00:00;995,375;23,820
2021/04/01 08:00:00;996,325;23,723
2021/04/01 09:00:00;997,025;23,437
2021/04/01 10:00:00;997,275;23,653
2021/04/01 11:00:00;996,725;25,147
2021/04/01 12:00:00;995,625;26,723
2021/04/01 13:00:00;994,900;28,077
2021/04/01 14:00:00;993,550;29,583
2021/04/01 15:00:00;992,825;30,537
2021/04/01 16:00:00;992,300;30,593
2021/04/01 17:00:00;992,425;29,547
2021/04/01 18:00:00;992,500;28,140
2021/04/01 19:00:00;992,900;27,413
2021/04/01 20:00:00;993,425;26,600
2021/04/01 21:00:00;994,000;25,937
2021/04/01 22:00:00;994,775;25,420
2021/04/01 23:00:00;995,125;25,107
2021/04/02 00:00:00;994,900;24,850
2021/04/02 01:00:00;994,775;24,717
2021/04/02 02:00:00;994,625;24,437
2021/04/02 03:00:00;994,500;23,973
2021/04/02 04:00:00;994,850;23,490
2021/04/02 05:00:00;994,650;23,053
2021/04/02 06:00:00;995,375;22,740
2021/04/02 07:00:00;996,550;24,153
2021/04/02 08:00:00;997,275;23,653
2021/04/02 09:00:00;997,925;24,130
2021/04/02 10:00:00;997,800;24,640
2021/04/02 11:00:00;997,275;25,773
2021/04/02 12:00:00;996,325;27,240
2021/04/02 13:00:00;995,075;28,560
2021/04/02 14:00:00;994,200;30,123
2021/04/02 15:00:00;993,425;30,750
2021/04/02 16:00:00;993,000;30,193
2021/04/02 17:00:00;992,600;28,857
2021/04/02 18:00:00;993,000;29,093
2021/04/02 19:00:00;993,125;27,000
2021/04/02 20:00:00;993,550;26,437
2021/04/02 21:00:00;994,025;26,093
2021/04/02 22:00:00;994,900;25,773
2021/04/02 23:00:00;995,275;25,513
2021/04/03 00:00:00;995,075;25,280
2021/04/03 01:00:00;994,600;25,030
2021/04/03 02:00:00;994,475;24,927
2021/04/03 03:00:00;994,075;24,750
2021/04/03 04:00:00;994,075;24,420
2021/04/03 05:00:00;994,375;23,943
2021/04/03 06:00:00;994,800;23,973
2021/04/03 07:00:00;995,725;24,380
2021/04/03 08:00:00;996,925;24,467
2021/04/03 09:00:00;997,625;24,593
2021/04/03 10:00:00;997,275;25,687
2021/04/03 11:00:00;997,025;26,187
2021/04/03 12:00:00;995,625;27,443
2021/04/03 13:00:00;994,200;28,490
2021/04/03 14:00:00;993,300;30,780
2021/04/03 15:00:00;992,350;31,750
2021/04/03 16:00:00;991,825;30,570
2021/04/03 17:00:00;991,550;28,897
2021/04/03 18:00:00;991,850;28,303
2021/04/03 19:00:00;992,125;27,513
2021/04/03 20:00:00;992,550;27,007
2021/04/03 21:00:00;992,725;26,773
2021/04/03 22:00:00;993,125;26,500
2021/04/03 23:00:00;993,175;26,287
2021/04/04 00:00:00;992,675;26,147
2021/04/04 01:00:00;992,225;25,983
2021/04/04 02:00:00;992,125;25,803
2021/04/04 03:00:00;992,175;25,467
2021/04/04 04:00:00;992,650;25,077
