Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Not Appl.
DATE       : 05/07/2023
TIME       : 12:59:54
FILENAME   : C:\Montcoudiol.N\Anwendungsdaten\DiverOffice\ProSEC\CSV\Rabingha_Baro_230705125953_BX059.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =TD-Diver=19
  Status                  =Started =0
  Serial number           =BB06-BX059  219.
  Instrument number       =          UTC+1     
                          =0
  Location                =Rabingha_Baro
  Sample period           =H01
  Sample method           =T   
  Number of channels      =2
[Channel 1]
  Identification          =PRESSURE
  Reference level         =4.00000   m
  Range                   =7.50000   m
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Series settings]
  Serial number           =BB06-BX059  219.
  Instrument number       =          UTC+1     
  Location                =Rabingha_Baro
  Sample period           =00 01:00:00 0
  Sample method           =T   
  Start date / time       =00:00:15 28.08.21
  End date / time         =00:00:13 05.07.23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =4.00000   m
  Range                   =7.50000   m
  Master level            =400       CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


Date/time;Pressure[mH2O];Temperature[°C]
2021/08/28 15:00:00;9.94300;30.773
2021/08/28 16:00:00;9.93550;31.373
2021/08/28 17:00:00;9.93550;30.850
2021/08/28 18:00:00;9.93825;29.867
2021/08/28 19:00:00;9.93675;28.967
2021/08/28 20:00:00;9.94150;27.653
2021/08/28 21:00:00;9.94950;24.500
2021/08/28 22:00:00;9.95775;23.693
2021/08/28 23:00:00;9.95500;23.343
2021/08/29 00:00:00;9.95025;23.123
2021/08/29 01:00:00;9.94725;22.937
2021/08/29 02:00:00;9.93725;22.787
2021/08/29 03:00:00;9.93550;22.710
2021/08/29 04:00:00;9.93850;22.687
2021/08/29 05:00:00;9.94250;22.593
2021/08/29 06:00:00;9.94025;22.547
2021/08/29 07:00:00;9.95500;31.000
2021/08/29 08:00:00;9.96500;31.303
2021/08/29 09:00:00;9.96550;31.350
2021/08/29 10:00:00;9.96500;31.810
2021/08/29 11:00:00;9.96325;32.193
2021/08/29 12:00:00;9.95600;32.380
2021/08/29 13:00:00;9.95025;32.210
2021/08/29 14:00:00;9.93900;32.530
2021/08/29 15:00:00;9.93125;32.950
2021/08/29 16:00:00;9.92425;32.217
2021/08/29 17:00:00;9.92425;31.810
2021/08/29 18:00:00;9.92600;30.943
2021/08/29 19:00:00;9.92600;29.873
2021/08/29 20:00:00;9.93425;28.240
2021/08/29 21:00:00;9.94250;26.740
2021/08/29 22:00:00;9.95025;25.897
2021/08/29 23:00:00;9.95500;25.210
2021/08/30 00:00:00;9.95125;24.810
2021/08/30 01:00:00;9.94775;24.583
2021/08/30 02:00:00;9.94375;24.177
2021/08/30 03:00:00;9.94675;23.937
2021/08/30 04:00:00;9.94550;23.710
2021/08/30 05:00:00;9.93850;23.467
2021/08/30 06:00:00;9.94000;23.617
2021/08/30 07:00:00;9.95025;29.530
2021/08/30 08:00:00;9.96425;30.473
2021/08/30 09:00:00;9.96500;30.967
2021/08/30 10:00:00;9.96725;31.077
2021/08/30 11:00:00;9.97850;32.373
2021/08/30 12:00:00;9.97325;32.467
2021/08/30 13:00:00;9.97450;30.553
2021/08/30 14:00:00;9.96150;27.850
2021/08/30 15:00:00;9.94300;25.937
