Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 05/07/2023
TIME       : 13:09:50
FILENAME   : C:\Montcoudiol.N\Anwendungsdaten\DiverOffice\ProSEC\CSV\Rabingha_Forage_230705130949_X1044.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..11-X1044  317.
  Instrument number       =          UTC+1     
                          =0
  Location                =Rabingha_Forage
  Sample period           =M60
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =4.0000    m
  Range                   =57.5000   m
  Master level            =5750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0         µS/cm
  Range                   =30000     µS/cm


[Series settings]
  Serial number           =..11-X1044  317.
  Instrument number       =          UTC+1     
  Location                =Rabingha_Forage
  Sample period           =00 00:60:00 0
  Sample method           =T   
  Start date / time       =00:00:15 28.08.21
  End date / time         =00:00:13 05.07.23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =4.0000    m
  Range                   =57.5000   m
  Master level            =5750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20.000   °C
  Range                   =100.000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0         µS/cm
  Range                   =30000     µS/cm


Date/time;Pressure[mH2O];Temperature[°C];1:Conductivity[µS/cm]
2021/08/28 15:00:00;44.2692;31.987;768
2021/08/28 16:00:00;40.8690;32.003;768
2021/08/28 17:00:00;43.0099;31.993;767
2021/08/28 18:00:00;44.3842;31.993;767
2021/08/28 19:00:00;44.6391;31.987;767
2021/08/28 20:00:00;44.7234;31.980;768
2021/08/28 21:00:00;44.7541;31.967;768
2021/08/28 22:00:00;44.8442;31.963;768
2021/08/28 23:00:00;44.8844;31.957;769
2021/08/29 00:00:00;44.9247;31.953;769
2021/08/29 01:00:00;44.9477;31.953;769
2021/08/29 02:00:00;44.9515;31.950;769
2021/08/29 03:00:00;44.9745;31.950;769
2021/08/29 04:00:00;44.9937;31.947;768
2021/08/29 05:00:00;45.0320;31.943;767
2021/08/29 06:00:00;45.0473;31.943;767
2021/08/29 07:00:00;41.3999;31.997;774
2021/08/29 08:00:00;41.1450;32.000;766
2021/08/29 09:00:00;40.3726;31.997;767
2021/08/29 10:00:00;44.1714;31.990;767
2021/08/29 11:00:00;40.9284;32.000;768
2021/08/29 12:00:00;43.4891;31.987;768
2021/08/29 13:00:00;41.5303;32.000;767
2021/08/29 14:00:00;40.7368;32.000;768
2021/08/29 15:00:00;40.6122;32.000;768
2021/08/29 16:00:00;40.3189;32.000;768
2021/08/29 17:00:00;42.8413;31.983;767
2021/08/29 18:00:00;41.0223;32.003;768
2021/08/29 19:00:00;44.2692;31.987;767
2021/08/29 20:00:00;44.4685;31.970;767
2021/08/29 21:00:00;44.5739;31.963;767
2021/08/29 22:00:00;44.6698;31.957;769
2021/08/29 23:00:00;44.7311;31.953;769
2021/08/30 00:00:00;44.7771;31.953;769
2021/08/30 01:00:00;44.8078;31.953;768
2021/08/30 02:00:00;44.8461;31.947;767
2021/08/30 03:00:00;44.8844;31.947;767
2021/08/30 04:00:00;44.9093;31.947;766
2021/08/30 05:00:00;44.9247;31.947;766
2021/08/30 06:00:00;43.5121;31.947;766
2021/08/30 07:00:00;40.6122;31.997;767
2021/08/30 08:00:00;41.3367;31.997;766
2021/08/30 09:00:00;40.9284;32.000;767
2021/08/30 10:00:00;40.3266;32.000;767
2021/08/30 11:00:00;42.5001;31.993;767
2021/08/30 12:00:00;43.2993;31.990;767
2021/08/30 13:00:00;42.7473;31.993;769
2021/08/30 14:00:00;43.5351;31.980;769
2021/08/30 15:00:00;42.9256;31.973;769
2021/08/30 16:00:00;40.9533;32.003;768
2021/08/30 17:00:00;40.5911;32.003;768
2021/08/30 18:00:00;40.6601;32.003;768
2021/08/30 19:00:00;44.1331;31.990;768
2021/08/30 20:00:00;44.3995;31.973;767
2021/08/30 21:00:00;44.5586;31.963;767
2021/08/30 22:00:00;44.6544;31.960;768
2021/08/30 23:00:00;44.7158;31.957;767
2021/08/31 00:00:00;44.7694;31.953;769
2021/08/31 01:00:00;44.8116;31.950;769
2021/08/31 02:00:00;44.8461;31.947;769
2021/08/31 03:00:00;44.8614;31.947;768
2021/08/31 04:00:00;44.8844;31.943;768
2021/08/31 05:00:00;44.9170;31.947;768
2021/08/31 06:00:00;41.1603;31.997;787
2021/08/31 07:00:00;43.1728;31.997;767
2021/08/31 08:00:00;40.9054;32.000;767
2021/08/31 09:00:00;40.5892;32.000;768
2021/08/31 10:00:00;40.1963;32.000;768
2021/08/31 11:00:00;40.4435;32.003;767
2021/08/31 12:00:00;43.2418;31.997;767
2021/08/31 13:00:00;43.7593;31.997;768
2021/08/31 14:00:00;42.8259;31.997;769
2021/08/31 15:00:00;40.4358;32.000;768
2021/08/31 16:00:00;44.0871;31.990;767
2021/08/31 17:00:00;40.1963;32.003;768
2021/08/31 18:00:00;40.6218;32.003;767
2021/08/31 19:00:00;42.9179;32.000;768
